YEAR,MONTH,PU_BOROUGH,AVG_TOTAL_AMOUNT,AVG_TIP_PCT,TRIPS
2022,6,EWR,106.27,0.11,1008
2022,6,Manhattan,18.75,0.12,3192758
2022,6,Queens,51.68,0.11,323054
2022,6,Staten Island,67.91,0.02,330
2022,7,Bronx,28.95,0.03,6229
2022,7,Brooklyn,26.82,0.1,34079
2022,7,EWR,104.93,0.1,907
2022,7,Manhattan,17.92,0.12,2827915
2022,7,Queens,50.81,0.11,302071
2022,7,Staten Island,67.63,0.02,328
2022,8,Bronx,29.54,0.03,6651
2022,8,Brooklyn,27.6,0.1,32801
2022,8,EWR,103.11,0.11,879
2022,8,Manhattan,17.91,0.12,2790039
2022,8,Queens,50.1,0.1,318330
2022,8,Staten Island,71.71,0.02,319
2022,9,Bronx,29.6,0.03,6981
2022,9,Brooklyn,28.46,0.1,35850
2022,9,EWR,104.77,0.11,951
2022,9,Manhattan,19.01,0.12,2824096
2022,9,Queens,51.92,0.11,317722
2022,9,Staten Island,67.49,0.01,285
2022,10,Bronx,29.32,0.03,6301
2022,10,Brooklyn,27.9,0.11,38970
2022,10,EWR,102.66,0.11,1147
2022,10,Manhattan,18.71,0.12,3272894
2022,10,Queens,52.02,0.11,345295
2022,10,Staten Island,62.4,0.02,309
2022,11,Bronx,29.26,0.03,5023
2022,11,Brooklyn,27.71,0.11,30355
2022,11,EWR,104.76,0.11,867
2022,11,Manhattan,18.53,0.13,2894758
2022,11,Queens,51.55,0.11,307778
2022,11,Staten Island,61.59,0.01,286
2022,12,Bronx,30.97,0.03,6377
2022,12,Brooklyn,30.65,0.1,34098
2022,12,EWR,106.36,0.11,936
2022,12,Manhattan,20.66,0.83,3024158
2022,12,Queens,56.55,0.11,328963
2022,12,Staten Island,63.91,0.01,373
2023,1,Bronx,32.13,0.02,5330
2023,1,Brooklyn,30.83,0.09,27203
2023,1,EWR,104.85,0.11,400
2023,1,Manhattan,22.47,0.12,2737511
2023,1,Queens,64.98,0.1,300502
2023,1,Staten Island,61.78,0.02,345
2023,2,Bronx,31.92,0.02,5355
2023,2,Brooklyn,30.35,0.09,27025
2023,2,EWR,95.33,0.1,389
2023,2,Manhattan,22.76,0.12,2623594
2023,2,Queens,65.34,0.1,262824
2023,2,Staten Island,65.97,0.01,259
2023,3,Bronx,31.3,0.02,7287
2023,3,Brooklyn,31.05,0.09,31596
2023,3,EWR,107.29,0.11,416
2023,3,Manhattan,23.21,0.12,3035618
2023,3,Queens,66.92,0.11,339837
2023,3,Staten Island,61.0,0.02,287
2023,4,Bronx,32.87,0.02,6587
2023,4,Brooklyn,31.78,0.09,32612
2023,4,EWR,106.37,0.09,444
2023,4,Manhattan,23.47,0.12,2915328
2023,4,Queens,68.19,0.11,335921
2023,4,Staten Island,60.95,0.01,305
2023,5,Bronx,34.5,0.02,7213
2023,5,Brooklyn,32.9,0.09,35759
2023,5,EWR,96.02,0.1,486
2023,5,Manhattan,24.13,0.12,3108741
2023,5,Queens,68.49,0.11,363558
2023,5,Staten Island,65.87,0.01,310
2023,6,Bronx,34.25,0.02,6643
2023,6,Brooklyn,32.81,0.09,35086
2023,6,EWR,105.4,0.11,453
2023,6,Manhattan,24.04,0.12,2916436
